index,name,category,city,rating,review_count,price_range,phone
0,Noodle Nook #0,Indian,Dallas,4.1,111,$$$,+1-507-421-5566
1,Grill House #1,Chinese,New York,2.6,712,$$,+1-611-630-7340
2,Pizza Palace #2,Chinese,Phoenix,3.2,386,$$$,+1-820-556-4515
3,Noodle Nook #3,American,San Diego,3.1,567,$$,+1-225-238-2213
4,Curry Kingdom #4,Indian,San Diego,4.3,933,$,+1-929-798-6236
5,Sushi World #5,Chinese,Dallas,4.2,670,$$$,+1-407-971-3580
6,Spice Symphony #6,Mexican,Dallas,4.7,377,$$,+1-224-305-3275
7,Grill House #7,French,New York,2.7,72,$$$,+1-667-686-7044
8,Curry Kingdom #8,Greek,Chicago,3.6,417,$,+1-167-416-7523
9,Curry Kingdom #9,Greek,San Antonio,2.6,292,$$$$,+1-943-688-2208
10,Spice Symphony #10,Mexican,Los Angeles,3.0,204,$$$$,+1-577-796-9476
11,Sushi World #11,Indian,Dallas,3.8,135,$$,+1-886-232-8088
12,Pizza Palace #12,Italian,Los Angeles,2.6,981,$$,+1-411-268-3653
13,Sushi World #13,Japanese,Philadelphia,3.0,878,$$$,+1-966-180-5105
14,Grill House #14,Greek,Phoenix,4.1,853,$$,+1-740-410-9740
15,Ocean's Delight #15,Greek,Chicago,3.9,475,$$,+1-275-774-6531
16,Noodle Nook #16,Italian,New York,3.1,103,$,+1-146-756-5336
17,Grill House #17,Mediterranean,San Antonio,4.0,688,$,+1-609-742-9938
18,Pasta Point #18,American,San Diego,4.5,227,$$,+1-924-926-7653
19,Pasta Point #19,French,Los Angeles,2.5,667,$,+1-261-550-7809
20,Curry Kingdom #20,French,Houston,4.5,664,$$$,+1-721-247-6121
21,Sushi World #21,Mexican,San Antonio,4.2,621,$$,+1-878-479-9437
22,Pizza Palace #22,Chinese,Philadelphia,3.4,31,$$,+1-577-225-5382
23,Curry Kingdom #23,Japanese,Chicago,2.9,61,$,+1-151-397-7293
24,Noodle Nook #24,Thai,Houston,4.9,815,$$,+1-933-435-6123
25,Grill House #25,Indian,San Diego,3.3,351,$$$$,+1-610-415-9148
26,Tasty Table #26,Chinese,San Antonio,2.7,259,$$$$,+1-346-320-6781
27,Tasty Table #27,Italian,Phoenix,2.7,138,$$$$,+1-711-963-8710
28,Pasta Point #28,Greek,New York,4.6,815,$,+1-541-237-5333
29,Sushi World #29,Thai,Philadelphia,4.0,588,$,+1-510-152-4189
30,Sushi World #30,Greek,Phoenix,4.5,220,$,+1-495-616-8378
31,Pizza Palace #31,American,San Jose,4.3,80,$,+1-231-199-7453
32,Sushi World #32,Mexican,Dallas,3.8,859,$$$,+1-873-247-4261
33,Noodle Nook #33,Greek,San Antonio,4.9,793,$,+1-146-139-3245
34,Sushi World #34,French,Dallas,3.4,577,$$$$,+1-252-720-9446
35,Spice Symphony #35,Mexican,San Jose,3.9,222,$$$,+1-266-502-5902
36,Noodle Nook #36,Mexican,Dallas,4.6,610,$$$$,+1-825-676-5911
37,Curry Kingdom #37,Italian,Philadelphia,4.0,231,$$$,+1-789-212-7824
38,Noodle Nook #38,American,New York,4.7,842,$$$$,+1-371-771-4728
39,Tasty Table #39,Mediterranean,San Diego,3.9,900,$$,+1-636-744-7229
40,Spice Symphony #40,Japanese,New York,4.3,248,$,+1-295-119-8225
41,Sushi World #41,Thai,Chicago,2.6,346,$$$$,+1-807-308-7723
42,Pizza Palace #42,Mediterranean,San Diego,3.1,802,$,+1-822-241-9498
43,Grill House #43,Greek,Philadelphia,3.2,161,$$$$,+1-638-485-6140
44,Spice Symphony #44,French,Dallas,2.7,817,$$$,+1-659-462-5331
45,Noodle Nook #45,French,Houston,3.1,932,$$,+1-385-671-5890
46,Grill House #46,American,Phoenix,2.8,620,$$,+1-806-821-9011
47,Sushi World #47,French,Philadelphia,3.2,12,$$$,+1-394-224-9899
48,Burger Haven #48,Thai,Philadelphia,4.1,293,$$,+1-397-143-5712
49,Ocean's Delight #49,Mexican,San Diego,3.4,889,$$$,+1-865-590-4505
50,Grill House #50,Greek,Phoenix,3.4,158,$$$,+1-240-211-4920
51,Grill House #51,Italian,Dallas,3.0,143,$$,+1-753-338-1860
52,Ocean's Delight #52,Thai,Philadelphia,3.2,563,$$$$,+1-202-797-3252
53,Tasty Table #53,Greek,Chicago,4.8,266,$$$$,+1-768-999-8793
54,Curry Kingdom #54,Japanese,Phoenix,4.1,827,$$$,+1-392-761-1969
55,Ocean's Delight #55,Mediterranean,Houston,4.0,188,$,+1-279-527-3880
56,Tasty Table #56,Thai,San Diego,2.9,122,$$,+1-866-993-5742
57,Tasty Table #57,Italian,Phoenix,4.3,686,$,+1-443-391-8444
58,Pizza Palace #58,Greek,San Diego,2.9,897,$$,+1-971-616-8668
59,Pasta Point #59,Japanese,Los Angeles,3.4,36,$$$,+1-266-848-8518
60,Pasta Point #60,Indian,New York,5.0,144,$$$,+1-909-402-4164
61,Spice Symphony #61,Mediterranean,San Antonio,4.1,25,$$$$,+1-627-435-2421
62,Burger Haven #62,Chinese,Chicago,3.9,376,$$,+1-588-431-5064
63,Tasty Table #63,American,San Antonio,4.2,818,$$,+1-557-871-5374
64,Sushi World #64,American,San Jose,4.6,817,$,+1-367-769-6890
65,Grill House #65,Italian,Los Angeles,4.4,253,$$$$,+1-414-263-7642
66,Pizza Palace #66,American,Los Angeles,3.1,612,$$$,+1-476-729-4618
67,Grill House #67,Indian,San Diego,2.6,341,$$,+1-565-865-7121
68,Burger Haven #68,Greek,San Diego,3.3,26,$$,+1-880-353-2341
69,Pizza Palace #69,French,Dallas,3.2,188,$$$,+1-179-677-2838
70,Tasty Table #70,Greek,Dallas,3.0,281,$$,+1-686-649-3455
71,Spice Symphony #71,Mexican,Dallas,4.9,63,$$$$,+1-219-796-4365
72,Noodle Nook #72,French,Los Angeles,4.7,139,$$$$,+1-928-156-8429
73,Spice Symphony #73,Greek,San Antonio,3.3,769,$$$$,+1-677-159-8575
74,Pasta Point #74,Italian,San Antonio,4.1,441,$$$,+1-936-103-4570
75,Noodle Nook #75,Chinese,New York,3.5,548,$$$$,+1-452-817-2044
76,Pizza Palace #76,Italian,Los Angeles,4.8,126,$$$$,+1-132-393-7698
77,Spice Symphony #77,Indian,San Antonio,3.6,773,$$$,+1-491-559-7184
78,Burger Haven #78,Chinese,Dallas,3.2,75,$$,+1-769-980-6697
79,Ocean's Delight #79,Indian,Dallas,3.1,497,$$$$,+1-641-230-4648
80,Tasty Table #80,Italian,Phoenix,3.9,469,$$$$,+1-789-836-9920
81,Burger Haven #81,Greek,San Antonio,3.2,806,$$,+1-353-571-6671
82,Spice Symphony #82,American,Houston,4.0,380,$,+1-132-928-7868
83,Noodle Nook #83,Italian,Houston,4.7,535,$$,+1-168-203-1550
84,Curry Kingdom #84,Mediterranean,New York,3.5,617,$$,+1-858-145-7590
85,Curry Kingdom #85,Japanese,Dallas,3.0,121,$$,+1-872-984-1924
86,Spice Symphony #86,Greek,Phoenix,5.0,472,$$,+1-935-849-6224
87,Noodle Nook #87,Mediterranean,Philadelphia,3.8,525,$$,+1-409-997-3347
88,Pizza Palace #88,Japanese,San Antonio,2.7,236,$$$,+1-381-162-3869
89,Burger Haven #89,Greek,San Diego,2.6,978,$,+1-452-758-7244
90,Pizza Palace #90,Mexican,San Antonio,2.8,639,$$$$,+1-252-407-7167
91,Spice Symphony #91,Greek,San Diego,4.1,54,$$,+1-969-330-5927
92,Spice Symphony #92,French,New York,4.5,754,$$$$,+1-526-670-9683
93,Spice Symphony #93,Thai,Houston,3.6,812,$$$,+1-308-438-2295
94,Curry Kingdom #94,Mexican,Los Angeles,2.7,940,$$,+1-152-374-7179
95,Noodle Nook #95,Mediterranean,New York,3.5,897,$,+1-292-923-4555
96,Curry Kingdom #96,Japanese,Philadelphia,5.0,684,$$$,+1-115-316-4113
97,Ocean's Delight #97,French,Houston,3.8,543,$$,+1-506-345-6269
98,Pasta Point #98,Thai,San Diego,4.9,318,$$$,+1-415-367-6892
99,Pizza Palace #99,French,San Diego,4.7,479,$,+1-922-839-8692
100,Sushi World #100,Japanese,Philadelphia,2.5,668,$$$,+1-523-146-4625
101,Spice Symphony #101,Italian,Phoenix,4.3,997,$$$$,+1-402-256-4214
102,Sushi World #102,Japanese,San Antonio,4.2,41,$$,+1-611-663-6530
103,Pasta Point #103,French,San Diego,3.8,72,$$$$,+1-272-850-6770
104,Spice Symphony #104,Indian,Dallas,3.2,500,$$$$,+1-288-655-1962
105,Pizza Palace #105,Italian,Los Angeles,4.1,877,$,+1-882-106-7756
106,Spice Symphony #106,Japanese,Los Angeles,2.8,421,$$,+1-109-323-9285
107,Curry Kingdom #107,Mexican,New York,3.6,446,$$$$,+1-775-599-1257
108,Tasty Table #108,Greek,Dallas,3.6,712,$$$$,+1-112-117-9673
109,Pasta Point #109,Greek,Phoenix,4.9,120,$,+1-614-932-8054
110,Spice Symphony #110,Chinese,Los Angeles,4.7,512,$$,+1-346-296-9625
111,Pasta Point #111,Mexican,Phoenix,3.2,739,$$$$,+1-180-482-7652
112,Curry Kingdom #112,Mediterranean,Houston,3.8,941,$$,+1-407-800-2320
113,Tasty Table #113,Chinese,San Antonio,2.9,464,$$$$,+1-486-665-8798
114,Tasty Table #114,Italian,Chicago,4.8,85,$,+1-611-965-8109
115,Sushi World #115,Mediterranean,Los Angeles,4.7,930,$,+1-335-316-8790
